asset_ref,taxonomy,lon,lat,probability(structural-no_damage),probability(structural-slight),probability(structural-moderate),probability(structural-extensive),probability(structural-complete)
CA-T6097154304-PC-UR,URML-PC,-1.23E+02,3.86E+01,0.1416,0.0308,0.1705,0.1877,0.47
CA-T6097154304-PC-W1,W1-PC,-1.23E+02,3.86E+01,0.2025,0.0391,0.1569,0.0808,0.52
CA-T6097154202-PC-C2,C2L-PC,-1.23E+02,3.88E+01,0.2292,0.1374,0.1121,0.0742,0.45
CA-T6097154202-PC-C3,C3L-PC,-1.23E+02,3.88E+01,0.1656,0.0483,0.1486,0.0863,0.55
CA-T6097154202-PC-MH,MH-PC,-1.23E+02,3.88E+01,0.2407,0.0903,0.1069,0.1677,0.39
CA-T6097154202-PC-PC,PC2L-PC,-1.23E+02,3.88E+01,0.121,0.1146,0.1592,0.1758,0.43
CA-T6097154202-PC-RM,RM1L-PC,-1.23E+02,3.88E+01,0.1914,0.1925,0.1261,0.1129,0.38
CA-T6097154202-PC-S1,S1L-PC,-1.23E+02,3.88E+01,0.0089,0.0276,0.0929,0.1614,0.71
CA-T6097154202-PC-S2,S2L-PC,-1.23E+02,3.88E+01,0.0666,0.121,0.1198,0.0741,0.62
CA-T6097154202-PC-S3,S3-PC,-1.23E+02,3.88E+01,0.0274,0.0532,0.0248,0.0963,0.8
CA-T6097154202-PC-S4,S4L-PC,-1.23E+02,3.88E+01,0.1855,0.0997,0.1568,0.1585,0.4
CA-T6097154202-PC-S5,S5L-PC,-1.23E+02,3.88E+01,0.2095,0.0796,0.1348,0.0401,0.54
CA-T6097154202-PC-UR,URML-PC,-1.23E+02,3.88E+01,0.0486,0.01,0.168,0.1121,0.66
CA-T6097154202-PC-W1,W1-PC,-1.23E+02,3.88E+01,0.2066,0.0168,0.0612,0.1613,0.55
CA-T6097154201-PC-C2,C2L-PC,-1.23E+02,3.88E+01,0.1094,0.1896,0.1251,0.0961,0.48
CA-T6097154201-PC-C3,C3L-PC,-1.23E+02,3.88E+01,0.0158,0.165,0.0532,0.1,0.67
CA-T6097154201-PC-MH,MH-PC,-1.23E+02,3.88E+01,0.0355,0.0053,0.142,0.1296,0.69
CA-T6097154201-PC-PC,PC2L-PC,-1.23E+02,3.88E+01,0.081,0.1031,0.0772,0.1051,0.63
CA-T6097154201-PC-RM,RM1L-PC,-1.23E+02,3.88E+01,0.195,0.191,0.0488,0.0142,0.55
CA-T6097154201-PC-S1,S1L-PC,-1.23E+02,3.88E+01,0.0502,0.126,0.1059,0.0413,0.68
CA-T6097154201-PC-S2,S2L-PC,-1.23E+02,3.88E+01,0.1725,0.1089,0.0695,0.1935,0.46
CA-T6097154201-PC-S3,S3-PC,-1.23E+02,3.88E+01,0.2479,0.1664,0.0531,0.0578,0.47
CA-T6097154201-PC-S4,S4L-PC,-1.23E+02,3.88E+01,0.0974,0.0053,0.0346,0.0169,0.85
CA-T6097154201-PC-S5,S5L-PC,-1.23E+02,3.88E+01,0.0799,0.1455,0.027,0.0011,0.75
CA-T6097154201-PC-UR,URML-PC,-1.23E+02,3.88E+01,0.0679,0.1121,0.1836,0.0988,0.54
CA-T6097154201-PC-W1,W1-PC,-1.23E+02,3.88E+01,0.0842,0.1817,0.1668,0.0265,0.54
CA-T6097153704-PC-C2,C2L-PC,-1.23E+02,3.85E+01,0.011,0.0307,0.0209,0.0849,0.85
CA-T6097153704-PC-C3,C3L-PC,-1.23E+02,3.85E+01,0.1627,0.0301,0.0088,0.0888,0.71
CA-T6097153704-PC-MH,MH-PC,-1.23E+02,3.85E+01,0.1965,0.0213,0.0358,0.1473,0.6
CA-T6097153704-PC-PC,PC2L-PC,-1.23E+02,3.85E+01,0.2091,0.1585,0.1049,0.0841,0.44
CA-T6097153704-PC-RM,RM1L-PC,-1.23E+02,3.85E+01,0.0673,0.1145,0.0521,0.1932,0.57
CA-T6097153704-PC-S1,S1L-PC,-1.23E+02,3.85E+01,0.153,0.0288,0.133,0.0922,0.59
CA-T6097153704-PC-S2,S2L-PC,-1.23E+02,3.85E+01,0.1028,0.0484,0.0043,0.0959,0.75
CA-T6097153704-PC-S3,S3-PC,-1.23E+02,3.85E+01,0.2252,0.0145,0.0291,0.1524,0.58
CA-T6097153704-PC-S4,S4L-PC,-1.23E+02,3.85E+01,0.0827,0.1824,0.1646,0.0824,0.49
CA-T6097153704-PC-S5,S5L-PC,-1.23E+02,3.85E+01,0.0595,0.1837,0.0007,0.1283,0.63
CA-T6097153704-PC-UR,URML-PC,-1.23E+02,3.85E+01,0.1164,0.0076,0.1353,0.1692,0.57
CA-T6097153704-PC-W1,W1-PC,-1.23E+02,3.85E+01,0.1887,0.1928,0.0046,0.0238,0.59
CA-T6097153703-PC-C2,C2L-PC,-1.23E+02,3.85E+01,0.1312,0.1086,0.1432,0.0599,0.56
CA-T6097153703-PC-C3,C3L-PC,-1.23E+02,3.85E+01,0.0615,0.0409,0.0686,0.0109,0.82
CA-T6097153703-PC-MH,MH-PC,-1.23E+02,3.85E+01,0.1809,0.1703,0.1096,0.1356,0.4
CA-T6097153703-PC-PC,PC2L-PC,-1.23E+02,3.85E+01,0.1485,0.1932,0.1491,0.1437,0.37
CA-T6097153703-PC-RM,RM1L-PC,-1.23E+02,3.85E+01,0.1173,0.0466,0.083,0.1614,0.59
CA-T6097153703-PC-S1,S1L-PC,-1.23E+02,3.85E+01,0.1516,0.1613,0.0825,0.1447,0.46
CA-T6097153703-PC-S2,S2L-PC,-1.23E+02,3.85E+01,0.2415,0.0873,0.011,0.1958,0.46
CA-T6097153703-PC-S3,S3-PC,-1.23E+02,3.85E+01,0.0123,0.0994,0.058,0.0014,0.83
CA-T6097153703-PC-S4,S4L-PC,-1.23E+02,3.85E+01,0.0925,0.1139,0.1592,0.149,0.49
CA-T6097153703-PC-S5,S5L-PC,-1.23E+02,3.85E+01,0.2039,0.0568,0.1612,0.0331,0.54
CA-T6097153703-PC-UR,URML-PC,-1.23E+02,3.85E+01,0.0578,0.1918,0.0686,0.1424,0.54
CA-T6097153703-PC-W1,W1-PC,-1.23E+02,3.85E+01,0.1738,0.07,0.0426,0.0498,0.66
CA-T6097154302-PC-C2,C2L-PC,-1.23E+02,3.84E+01,0.1204,0.1666,0.1328,0.1377,0.44
CA-T6097154302-PC-C3,C3L-PC,-1.23E+02,3.84E+01,0.2327,0.0695,0.0705,0.031,0.6
CA-T6097154302-PC-MH,MH-PC,-1.23E+02,3.84E+01,0.0756,0.1182,0.1721,0.0456,0.59
CA-T6097154302-PC-PC,PC2L-PC,-1.23E+02,3.84E+01,0.079,0.1012,0.0635,0.126,0.63
CA-T6097154302-PC-RM,RM1L-PC,-1.23E+02,3.84E+01,0.1705,0.0892,0.1207,0.1549,0.46
CA-T6097154302-PC-S2,S2L-PC,-1.23E+02,3.84E+01,0.0683,0.1342,0.147,0.0088,0.64
CA-T6097154302-PC-S3,S3-PC,-1.23E+02,3.84E+01,0.0836,0.188,0.0229,0.0062,0.7
CA-T6097154302-PC-S4,S4L-PC,-1.23E+02,3.84E+01,0.0995,0.1304,0.0107,0.1016,0.66
CA-T6097154302-PC-S5,S5L-PC,-1.23E+02,3.84E+01,0.047,0.1201,0.0968,0.1042,0.63
CA-T6097154302-PC-UR,URML-PC,-1.23E+02,3.84E+01,0.2333,0.0628,0.0112,0.1022,0.59
CA-T6097154302-PC-W1,W1-PC,-1.23E+02,3.84E+01,0.1033,0.1877,0.007,0.1963,0.51
CA-T6097154000-PC-MH,MH-PC,-1.23E+02,3.86E+01,0.1464,0.1978,0.1966,0.0893,0.37
CA-T6097154000-PC-RM,RM1L-PC,-1.23E+02,3.86E+01,0.0005,0.0674,0.1083,0.1622,0.66
CA-T6097154000-PC-W1,W1-PC,-1.23E+02,3.86E+01,0.1647,0.1206,0.1516,0.0365,0.53
CA-T6097153705-PC-C2,C2L-PC,-1.23E+02,3.85E+01,0.061,0.1079,0.1777,0.0402,0.61
CA-T6097153705-PC-C3,C3L-PC,-1.23E+02,3.85E+01,0.0265,0.0276,0.1413,0.1315,0.67
CA-T6097153705-PC-MH,MH-PC,-1.23E+02,3.85E+01,0.2364,0.1712,0.1703,0.0801,0.34
CA-T6097153705-PC-PC,PC2L-PC,-1.23E+02,3.85E+01,0.1469,0.0268,0.1369,0.0069,0.68
CA-T6097153705-PC-RM,RM1L-PC,-1.23E+02,3.85E+01,0.0558,0.1737,0.0341,0.015,0.72
CA-T6097153705-PC-S1,S1L-PC,-1.23E+02,3.85E+01,0.0148,0.1399,0.1889,0.139,0.52
CA-T6097153705-PC-S2,S2L-PC,-1.23E+02,3.85E+01,0.1532,0.1272,0.1478,0.0826,0.49
CA-T6097153705-PC-S3,S3-PC,-1.23E+02,3.85E+01,0.237,0.0806,0.1645,0.0976,0.42
CA-T6097153705-PC-S4,S4L-PC,-1.23E+02,3.85E+01,0.2421,0.1229,0.1492,0.017,0.47
CA-T6097153705-PC-S5,S5L-PC,-1.23E+02,3.85E+01,0.1362,0.1406,0.1845,0.1009,0.44
CA-T6097153705-PC-UR,URML-PC,-1.23E+02,3.85E+01,0.1167,0.0182,0.0348,0.1506,0.68
CA-T6097153705-PC-W1,W1-PC,-1.23E+02,3.85E+01,0.0296,0.1271,0.0635,0.0201,0.76
CA-T6097153706-PC-C2,C2L-PC,-1.23E+02,3.85E+01,0.0528,0.1563,0.0739,0.186,0.53
CA-T6097153706-PC-C3,C3L-PC,-1.23E+02,3.85E+01,0.0207,0.07,0.1088,0.177,0.62
CA-T6097153706-PC-MH,MH-PC,-1.23E+02,3.85E+01,0.01,0.045,0.0316,0.0485,0.86
CA-T6097153706-PC-RM,RM1L-PC,-1.23E+02,3.85E+01,0.086,0.1324,0.1634,0.0819,0.54
CA-T6097153706-PC-S1,S1L-PC,-1.23E+02,3.85E+01,0.1353,0.0871,0.0232,0.1423,0.61
CA-T6097153706-PC-S2,S2L-PC,-1.23E+02,3.85E+01,0.0405,0.069,0.1002,0.0977,0.69
CA-T6097153706-PC-S3,S3-PC,-1.23E+02,3.85E+01,0.0285,0.192,0.1984,0.0295,0.55
CA-T6097153706-PC-S4,S4L-PC,-1.23E+02,3.85E+01,0.1866,0.0149,0.1993,0.1453,0.45
CA-T6097153706-PC-S5,S5L-PC,-1.23E+02,3.85E+01,0.1948,0.054,0.167,0.0611,0.52
CA-T6097153706-PC-UR,URML-PC,-1.23E+02,3.85E+01,0.1152,0.0931,0.1262,0.0763,0.59
CA-T6097153706-PC-W1,W1-PC,-1.23E+02,3.85E+01,0.2293,0.087,0.041,0.0795,0.56
CA-T6097153600-PC-C2,C2L-PC,-1.23E+02,3.84E+01,0.0039,0.1755,0.1499,0.0738,0.6
CA-T6097153600-PC-C3,C3L-PC,-1.23E+02,3.84E+01,0.0035,0.1303,0.161,0.0956,0.61
CA-T6097153600-PC-MH,MH-PC,-1.23E+02,3.84E+01,0.0583,0.1736,0.0998,0.0734,0.59
CA-T6097153600-PC-PC,PC2L-PC,-1.23E+02,3.84E+01,0.0148,0.1892,0.036,0.0521,0.71
CA-T6097153600-PC-RM,RM1L-PC,-1.23E+02,3.84E+01,0.0069,0.0892,0.1328,0.0288,0.74
CA-T6097153600-PC-S1,S1L-PC,-1.23E+02,3.84E+01,0.2447,0.1172,0.1196,0.1943,0.32
CA-T6097153600-PC-S2,S2L-PC,-1.23E+02,3.84E+01,0.2112,0.0481,0.0537,0.1563,0.53
CA-T6097153600-PC-S3,S3-PC,-1.23E+02,3.84E+01,0.1757,0.0005,0.0047,0.1767,0.64
CA-T6097153600-PC-S4,S4L-PC,-1.23E+02,3.84E+01,0.0086,0.0794,0.1939,0.0776,0.64
CA-T6097153600-PC-S5,S5L-PC,-1.23E+02,3.84E+01,0.0481,0.1504,0.1106,0.137,0.55
CA-T6097153600-PC-UR,URML-PC,-1.23E+02,3.84E+01,0.1972,0.1221,0.0778,0.1831,0.42
CA-T6097153600-PC-W1,W1-PC,-1.23E+02,3.84E+01,0.2289,0.0023,0.0214,0.1236,0.62
CA-T6097153502-PC-C2,C2L-PC,-1.23E+02,3.83E+01,0.0399,0.0896,0.1346,0.1113,0.62
CA-T6097153502-PC-C3,C3L-PC,-1.23E+02,3.83E+01,0.093,0.0676,0.0842,0.0572,0.7
CA-T6097153502-PC-MH,MH-PC,-1.23E+02,3.83E+01,0.0749,0.0535,0.0945,0.1227,0.65
CA-T6097153502-PC-PC,PC2L-PC,-1.23E+02,3.83E+01,0.0666,0.1549,0.1746,0.1617,0.44
CA-T6097153502-PC-RM,RM1L-PC,-1.23E+02,3.83E+01,0.1533,0.1585,0.1649,0.0472,0.48
CA-T6097153502-PC-S1,S1L-PC,-1.23E+02,3.83E+01,0.0043,0.0714,0.0699,0.1085,0.75
CA-T6097153502-PC-S2,S2L-PC,-1.23E+02,3.83E+01,0.0402,0.1777,0.1548,0.1028,0.52
CA-T6097153502-PC-S3,S3-PC,-1.23E+02,3.83E+01,0.0674,0.1301,0.188,0.138,0.48
CA-T6097153502-PC-S4,S4L-PC,-1.23E+02,3.83E+01,0.0762,0.0021,0.1394,0.0631,0.72
CA-T6097153502-PC-S5,S5L-PC,-1.23E+02,3.83E+01,0.0739,0.031,0.0232,0.0788,0.79
CA-T6097153502-PC-UR,URML-PC,-1.23E+02,3.83E+01,0.0626,0.1942,0.1189,0.1115,0.51
CA-T6097153502-PC-W1,W1-PC,-1.23E+02,3.83E+01,0.1515,0.1243,0.1757,0.1481,0.4
CA-T6041132200-PC-C2,C2L-PC,-1.23E+02,3.81E+01,0.0952,0.0237,0.1246,0.0693,0.69
CA-T6041132200-PC-C3,C3L-PC,-1.23E+02,3.81E+01,0.1055,0.0079,0.007,0.0447,0.83
CA-T6041132200-PC-MH,MH-PC,-1.23E+02,3.81E+01,0.2354,0.1551,0.0821,0.006,0.52
CA-T6041132200-PC-PC,PC2L-PC,-1.23E+02,3.81E+01,0.1521,0.0968,0.0877,0.1104,0.55
CA-T6041132200-PC-RM,RM1L-PC,-1.23E+02,3.81E+01,0.1444,0.1212,0.0205,0.0937,0.62
CA-T6041132200-PC-S1,S1L-PC,-1.23E+02,3.81E+01,0.1707,0.1212,0.1862,0.0788,0.44
CA-T6041132200-PC-S2,S2L-PC,-1.23E+02,3.81E+01,0.0014,0.0373,0.0676,0.1398,0.75
CA-T6041132200-PC-S3,S3-PC,-1.23E+02,3.81E+01,0.0898,0.1833,0.1045,0.0408,0.58
CA-T6041132200-PC-S4,S4L-PC,-1.23E+02,3.81E+01,0.0281,0.0753,0.1167,0.0072,0.77
CA-T6041132200-PC-S5,S5L-PC,-1.23E+02,3.81E+01,0.0414,0.1201,0.0226,0.0928,0.72
CA-T6041132200-PC-UR,URML-PC,-1.23E+02,3.81E+01,0.0284,0.0295,0.079,0.1261,0.74
CA-T6041132200-PC-W1,W1-PC,-1.23E+02,3.81E+01,0.0662,0.1969,0.1979,0.1113,0.43
CA-T6097153902-PC-C2,C2L-PC,-1.23E+02,3.86E+01,0.234,0.1118,0.1058,0.1273,0.42
CA-T6097153902-PC-C3,C3L-PC,-1.23E+02,3.86E+01,0.1234,0.1604,0.0744,0.1116,0.53
CA-T6097153902-PC-MH,MH-PC,-1.23E+02,3.86E+01,0.1198,0.1246,0.0665,0.06,0.63
CA-T6097153902-PC-PC,PC2L-PC,-1.23E+02,3.86E+01,0.0268,0.1718,0.1397,0.1128,0.55
CA-T6097153902-PC-RM,RM1L-PC,-1.23E+02,3.86E+01,0.0689,0.092,0.1669,0.171,0.5
CA-T6097153902-PC-S1,S1L-PC,-1.23E+02,3.86E+01,0.0383,0.183,0.1868,0.117,0.47
CA-T6097153902-PC-S2,S2L-PC,-1.23E+02,3.86E+01,0.2428,0.0107,0.1398,0.19,0.42
CA-T6097153902-PC-S3,S3-PC,-1.23E+02,3.86E+01,0.0496,0.0524,0.0368,0.1137,0.75
CA-T6097153902-PC-S4,S4L-PC,-1.23E+02,3.86E+01,0.2382,0.0278,0.0945,0.0905,0.55
CA-T6097153902-PC-S5,S5L-PC,-1.23E+02,3.86E+01,0.0851,0.1968,0.0153,0.0888,0.61
CA-T6097153902-PC-UR,URML-PC,-1.23E+02,3.86E+01,0.1407,0.1478,0.1706,0.1606,0.38
CA-T6097153902-PC-W1,W1-PC,-1.23E+02,3.86E+01,0.1569,0.1158,0.0819,0.093,0.55
CA-T6097153903-PC-C2,C2L-PC,-1.23E+02,3.86E+01,0.2375,0.0417,0.1497,0.17,0.4
CA-T6097153903-PC-C3,C3L-PC,-1.23E+02,3.86E+01,0.0858,0.0387,0.1948,0.1919,0.49
CA-T6097153903-PC-MH,MH-PC,-1.23E+02,3.86E+01,0.1423,0.1294,0.0218,0.0828,0.62
CA-T6097153903-PC-PC,PC2L-PC,-1.23E+02,3.86E+01,0.065,0.0978,0.1281,0.1168,0.59
CA-T6097153903-PC-RM,RM1L-PC,-1.23E+02,3.86E+01,0.0299,0.0213,0.151,0.0892,0.71
CA-T6097153903-PC-S1,S1L-PC,-1.23E+02,3.86E+01,0.1589,0.1143,0.1183,0.027,0.58
CA-T6097153903-PC-S2,S2L-PC,-1.23E+02,3.86E+01,0.1916,0.1524,0.1273,0.0546,0.47
CA-T6097153903-PC-S3,S3-PC,-1.23E+02,3.86E+01,0.2487,0.0492,0.0914,0.0086,0.6
CA-T6097153903-PC-S4,S4L-PC,-1.23E+02,3.86E+01,0.0742,0.0295,0.0252,0.1527,0.72
CA-T6097153903-PC-S5,S5L-PC,-1.23E+02,3.86E+01,0.1673,0.0122,0.0774,0.1096,0.63
CA-T6097153903-PC-UR,URML-PC,-1.23E+02,3.86E+01,0.1994,0.1732,0.1222,0.0751,0.43
CA-T6097153903-PC-W1,W1-PC,-1.23E+02,3.86E+01,0.1029,0.1427,0.173,0.1497,0.43
CA-T6097153401-PC-C2,C2L-PC,-1.23E+02,3.84E+01,0.1392,0.1774,0.1527,0.0684,0.46
CA-T6097153401-PC-C3,C3L-PC,-1.23E+02,3.84E+01,0.2124,0.1793,0.0127,0.0649,0.53
CA-T6097153401-PC-MH,MH-PC,-1.23E+02,3.84E+01,0.0066,0.004,0.0286,0.1873,0.77
CA-T6097153401-PC-PC,PC2L-PC,-1.23E+02,3.84E+01,0.1851,0.1964,0.1751,0.1565,0.29
CA-T6097153401-PC-RM,RM1L-PC,-1.23E+02,3.84E+01,0.2343,0.0551,0.0666,0.192,0.45
CA-T6097153401-PC-S1,S1L-PC,-1.23E+02,3.84E+01,0.193,0.073,0.1809,0.1864,0.37
CA-T6097153401-PC-S2,S2L-PC,-1.23E+02,3.84E+01,0.1807,0.1958,0.1642,0.0343,0.42
CA-T6097153401-PC-S3,S3-PC,-1.23E+02,3.84E+01,0.0716,0.0851,0.1905,0.1167,0.54
CA-T6097153401-PC-S4,S4L-PC,-1.23E+02,3.84E+01,0.0098,0.0112,0.0554,0.1702,0.75
CA-T6097153401-PC-S5,S5L-PC,-1.23E+02,3.84E+01,0.0821,0.1563,0.0443,0.0521,0.67
CA-T6097153401-PC-UR,URML-PC,-1.23E+02,3.84E+01,0.0662,0.0308,0.1408,0.041,0.72
CA-T6097153401-PC-W1,W1-PC,-1.23E+02,3.84E+01,0.2396,0.1607,0.1052,0.0703,0.42
CA-T6097153801-PC-C2,C2L-PC,-1.23E+02,3.85E+01,0.1803,0.1155,0.0444,0.1637,0.5
CA-T6097153801-PC-C3,C3L-PC,-1.23E+02,3.85E+01,0.0969,0.0328,0.1503,0.1839,0.54
CA-T6097153801-PC-MH,MH-PC,-1.23E+02,3.85E+01,0.0773,0.0647,0.1782,0.1926,0.49
CA-T6097153801-PC-PC,PC2L-PC,-1.23E+02,3.85E+01,0.2473,0.1642,0.1456,0.0317,0.41
CA-T6097153801-PC-RM,RM1L-PC,-1.23E+02,3.85E+01,0.1898,0.1367,0.081,0.0748,0.52
CA-T6097153801-PC-S1,S1L-PC,-1.23E+02,3.85E+01,0.1757,0.0066,0.1427,0.0144,0.66
CA-T6097153801-PC-S2,S2L-PC,-1.23E+02,3.85E+01,0.1144,0.1094,0.0536,0.1185,0.6
CA-T6097153801-PC-S3,S3-PC,-1.23E+02,3.85E+01,0.03,0.1352,0.1344,0.175,0.53
CA-T6097153801-PC-S4,S4L-PC,-1.23E+02,3.85E+01,0.0572,0.101,0.0197,0.1096,0.71
CA-T6097153801-PC-S5,S5L-PC,-1.23E+02,3.85E+01,0.0699,0.0226,0.1396,0.0736,0.69
CA-T6097153801-PC-UR,URML-PC,-1.23E+02,3.85E+01,0.1203,0.0922,0.1443,0.0153,0.63
CA-T6097153801-PC-W1,W1-PC,-1.23E+02,3.85E+01,0.0267,0.041,0.1379,0.1601,0.63
CA-T6097153404-PC-C2,C2L-PC,-1.23E+02,3.84E+01,0.2282,0.0478,0.1051,0.1968,0.42
CA-T6097153404-PC-C3,C3L-PC,-1.23E+02,3.84E+01,0.1513,0.1188,0.0051,0.1484,0.58
CA-T6097153404-PC-MH,MH-PC,-1.23E+02,3.84E+01,0.0597,0.157,0.0111,0.0036,0.77
CA-T6097153404-PC-PC,PC2L-PC,-1.23E+02,3.84E+01,0.1154,0.1758,0.1078,0.114,0.49
CA-T6097153404-PC-RM,RM1L-PC,-1.23E+02,3.84E+01,0.0216,0.1468,0.1975,0.1887,0.45
CA-T6097153404-PC-S1,S1L-PC,-1.23E+02,3.84E+01,0.109,0.1314,0.1048,0.1841,0.47
CA-T6097153404-PC-S2,S2L-PC,-1.23E+02,3.84E+01,0.0653,0.1038,0.0205,0.1994,0.61
CA-T6097153404-PC-S3,S3-PC,-1.23E+02,3.84E+01,0.0067,0.1566,0.114,0.0169,0.71
CA-T6097153404-PC-S4,S4L-PC,-1.23E+02,3.84E+01,0.117,0.1559,0.1135,0.0159,0.6
CA-T6097153404-PC-S5,S5L-PC,-1.23E+02,3.84E+01,0.0945,0.1696,0.1483,0.0425,0.55
CA-T6097153404-PC-UR,URML-PC,-1.23E+02,3.84E+01,0.0632,0.1059,0.1138,0.0644,0.65
CA-T6097153404-PC-W1,W1-PC,-1.23E+02,3.84E+01,0.205,0.0733,0.1361,0.0655,0.52
CA-T6097153901-PC-C2,C2L-PC,-1.23E+02,3.86E+01,0.0786,0.121,0.081,0.165,0.55
CA-T6097153901-PC-C3,C3L-PC,-1.23E+02,3.86E+01,0.2218,0.1239,0.04,0.1354,0.48
CA-T6097153901-PC-MH,MH-PC,-1.23E+02,3.86E+01,0.1249,0.1369,0.1847,0.1706,0.38
CA-T6097153901-PC-PC,PC2L-PC,-1.23E+02,3.86E+01,0.1896,0.0763,0.1603,0.0711,0.5
CA-T6097153901-PC-RM,RM1L-PC,-1.23E+02,3.86E+01,0.1427,0.0141,0.1993,0.0615,0.58
CA-T6097153901-PC-S1,S1L-PC,-1.23E+02,3.86E+01,0.0653,0.0893,0.1245,0.102,0.62
CA-T6097153901-PC-S2,S2L-PC,-1.23E+02,3.86E+01,0.2423,0.054,0.0081,0.0995,0.6
CA-T6097153901-PC-S3,S3-PC,-1.23E+02,3.86E+01,0.2358,0.1048,0.1981,0.12,0.34
CA-T6097153901-PC-S4,S4L-PC,-1.23E+02,3.86E+01,0.2068,0.0586,0.1993,0.0144,0.52
CA-T6097153901-PC-S5,S5L-PC,-1.23E+02,3.86E+01,0.0976,0.095,0.1144,0.0122,0.68
CA-T6097153901-PC-UR,URML-PC,-1.23E+02,3.86E+01,0.0225,0.1327,0.1949,0.011,0.64
CA-T6097153901-PC-W1,W1-PC,-1.23E+02,3.86E+01,0.0512,0.1421,0.0765,0.1501,0.58
CA-T6097153804-PC-C2,C2L-PC,-1.23E+02,3.86E+01,0.2391,0.1973,0.1209,0.1897,0.25
CA-T6097153804-PC-C3,C3L-PC,-1.23E+02,3.86E+01,0.1241,0.1727,0.1858,0.1194,0.4
CA-T6097153804-PC-MH,MH-PC,-1.23E+02,3.86E+01,0.2341,0.1958,0.0141,0.12,0.44
CA-T6097153804-PC-RM,RM1L-PC,-1.23E+02,3.86E+01,0.078,0.0669,0.0361,0.0374,0.78
CA-T6097153804-PC-S3,S3-PC,-1.23E+02,3.86E+01,0.0291,0.1978,0.1077,0.1687,0.5
CA-T6097153804-PC-S4,S4L-PC,-1.23E+02,3.86E+01,0.0252,0.139,0.1083,0.1079,0.62
CA-T6097153804-PC-S5,S5L-PC,-1.23E+02,3.86E+01,0.0821,0.0641,0.1577,0.166,0.53
CA-T6097153804-PC-W1,W1-PC,-1.23E+02,3.86E+01,0.2457,0.1011,0.1794,0.0134,0.46
CA-T6097153804-PC-S1,S1M-PC,-1.23E+02,3.86E+01,0.0654,0.0627,0.0551,0.1876,0.63
CA-T6097153804-PC-S2,S2M-PC,-1.23E+02,3.86E+01,0.2199,0.1121,0.1449,0.1133,0.41
CA-T6097153804-PC-S4,S4M-PC,-1.23E+02,3.86E+01,0.0554,0.099,0.0365,0.0444,0.76
CA-T6097153804-PC-C1,C1M-PC,-1.23E+02,3.86E+01,0.1164,0.1728,0.0945,0.1378,0.48
CA-T6097153804-PC-C2,C2M-PC,-1.23E+02,3.86E+01,0.0467,0.1188,0.0208,0.1047,0.71
CA-T6097153804-PC-PC,PC2M-PC,-1.23E+02,3.86E+01,0.0383,0.0493,0.0384,0.1036,0.77
CA-T6097153804-PC-RM,RM1M-PC,-1.23E+02,3.86E+01,0.1763,0.0862,0.0659,0.0142,0.66
CA-T6097153804-PC-S1,S1H-PC,-1.23E+02,3.86E+01,0.1158,0.1014,0.1228,0.0278,0.63
CA-T6097153804-PC-C2,C2H-PC,-1.23E+02,3.86E+01,0.0911,0.1506,0.0032,0.074,0.68
CA-T6097153808-PC-C2,C2L-PC,-1.23E+02,3.85E+01,0.1015,0.1522,0.1576,0.1884,0.4
